"package","date","series","series_id","series_type","frequency","value","category"
"readrba",2010-01-29,"A$1=ZAR","FXRSARD","Indicative","Monthly",6.7897,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Effective tenor – 10 year target tenor","FNFTA10M","Original","Monthly",8.93,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Effective tenor – 3 year target tenor","FNFTA3M","Original","Monthly",2.68,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Effective tenor – 5 year target tenor","FNFTA5M","Original","Monthly",4.02,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Effective tenor – 7 year target tenor","FNFTA7M","Original","Monthly",7.58,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Number of bonds – >12 years","FNFNA12M","Original","Monthly",0,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Number of bonds – 1–4 years","FNFNA3M","Original","Monthly",20,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Number of bonds – 4–6 years","FNFNA5M","Original","Monthly",3,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Number of bonds – 6–8 years","FNFNA7M","Original","Monthly",3,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Number of bonds – 8–12 years","FNFNA10M","Original","Monthly",4,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Yield – 10 year target tenor","FNFYA10M","Original","Monthly",6.24,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Yield – 3 year target tenor","FNFYA3M","Original","Monthly",5.95,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Yield – 5 year target tenor","FNFYA5M","Original","Monthly",6,"TBC"
"readrba",2005-01-31,"Non-financial corporate A-rated bonds – Yield – 7 year target tenor","FNFYA7M","Original","Monthly",6.18,"TBC"
"readrba",2005-01-31,"Non-financial corporate BBB-rated bonds – Effective tenor – 10 year target tenor","FNFTBBB10M","Original","Monthly",7.95,"TBC"
