package,date,series,series_id,series_type,frequency,value,unit,group,group_id
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Number of bonds – 6–8 years (ORIG),FNFNBBB7M,Original,Monthly,2,Number,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Number of bonds – 8–12 years (ORIG),FNFNBBB10M,Original,Monthly,2,Number,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Yield – 10 year target tenor (ORIG),FNFYBBB10M,Original,Monthly,6.58,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Yield – 3 year target tenor (ORIG),FNFYBBB3M,Original,Monthly,6.1,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Yield – 5 year target tenor (ORIG),FNFYBBB5M,Original,Monthly,6.35,Percent,,
readrba,31/1/2005 0:00,Non-financial corporate BBB-rated bonds – Yield – 7 year target tenor (ORIG),FNFYBBB7M,Original,Monthly,6.5,Percent,,
readrba,31/5/1970 0:00,Trade-weighted Index May 1970 = 100 (ORIG),FXRTWI,Original,Monthly,100,Index,,
fredr,1/1/1990 0:00,Global price of Brent Crude (USD) (ORIG),POILBREUSDM,Original,Monthly,20.98913043,USD per barrel,,
fredr,1/1/1990 0:00,Crude Oil Prices: Brent - Europe (ORIG),MCOILBRENTEU,Original,Monthly,21.25,USD per barrel,,
fredr,1/1/1990 0:00,Spot Crude Oil Price: West Texas Intermediate (WTI) (ORIG),WTISPLC,Original,Monthly,22.641,USD per barrel,,
fredr,1/1/1990 0:00,Global price of Iron Ore (ORIG),PIORECRUSDM,Original,Monthly,14.05,USD per metric ton,,
fredr,1/1/1990 0:00,"Global price of Coal, Australia (ORIG)",PCOALAUUSDM,Original,Monthly,38,USD per metric ton,,
yahoofinancer,30/11/1992 13:00,AUS ASX200 (ORIG),^AXJO,Original,Monthly,1564.699951,Index,,
yahoofinancer,31/12/1989 13:00,AUS All Ordinaries (ORIG),^AORD,Original,Monthly,1677,Index,,
yahoofinancer,1/1/1990 5:00,US S&P 500 (ORIG),^GSPC,Original,Monthly,329.0799866,Index,,
yahoofinancer,31/12/1999 23:00,EU Euronext 100 Index (ORIG),^N100,Original,Monthly,929.8599854,Index,,
yahoofinancer,1/1/1990 0:00,UK FTSE 100 Index (ORIG),^FTSE,Original,Monthly,2337.300049,Index,,
yahoofinancer,31/12/1989 15:00,Japan Nikkei 225 (ORIG),^N225,Original,Monthly,37188.94922,Index,,
yahoofinancer,31/12/1996 15:00,Korea KOSPI Composite Index (ORIG),^KS11,Original,Monthly,685.8400269,Index,,
yahoofinancer,31/12/1989 16:00,Hong Kong Hang Seng Index (ORIG),^HSI,Original,Monthly,2751.600098,Index,,
yahoofinancer,31/7/1997 16:00,Shanghai SSE Composite Index (ORIG),000001.SS,Original,Monthly,1221.063965,Index,,
yahoofinancer,1/9/2000 4:00,Gold price (ORIG),GC=F,Original,Monthly,273.6000061,USD per ounce,,
